Wavelength,DM + window
1.352,0.910934445
1.353,0.910945899
1.354,0.910958098
1.355,0.910970484
1.356,0.910982497
1.357,0.910993578
1.358,0.91100317
1.359,0.911010713
1.36,0.911015648
1.361,0.911017418
1.362,0.911017418
1.363,0.911017418
1.364,0.911017418
1.365,0.911017418
1.366,0.911017418
1.367,0.911017418
1.368,0.911017418
1.369,0.911017418
1.37,0.911017418
1.371,0.911017418
1.372,0.911020025
1.373,0.911027102
1.374,0.911037532
1.375,0.911050197
1.376,0.911063979
1.377,0.911077761
1.378,0.911090426
1.379,0.911100855
1.38,0.911107933
1.381,0.91111054
1.382,0.91111054
1.383,0.91111054
1.384,0.91111054
1.385,0.91111054
1.386,0.91111054
1.387,0.91111054
1.388,0.91111054
1.389,0.91111054
1.39,0.91111054
1.391,0.91111054
1.392,0.911113147
1.393,0.911120225
1.394,0.911130654
1.395,0.911143319
1.396,0.911157101
1.397,0.911170883
1.398,0.911183548
1.399,0.911193978
1.4,0.911201055
1.401,0.911203663
1.402,0.911203663
1.403,0.911203663
1.404,0.911203663
1.405,0.911203663
1.406,0.911203663
1.407,0.911203663
1.408,0.911203663
1.409,0.911203663
1.41,0.911203663
1.411,0.911203663
1.412,0.91120627
1.413,0.911213347
1.414,0.911223777
1.415,0.911236442
1.416,0.911250224
1.417,0.911264006
1.418,0.911276671
1.419,0.9112871
1.42,0.911294178
1.421,0.911296785
1.422,0.911296785
1.423,0.911296785
1.424,0.911296785
1.425,0.911296785
1.426,0.911296785
1.427,0.911296785
1.428,0.911296785
1.429,0.911296785
1.43,0.911296785
1.431,0.911296785
1.432,0.911299392
1.433,0.91130647
1.434,0.911316899
1.435,0.911329564
1.436,0.911343346
1.437,0.911357128
1.438,0.911369793
1.439,0.911380223
1.44,0.9113873
1.441,0.911389908
1.442,0.911389908
1.443,0.911389908
1.444,0.911389908
1.445,0.911389908
1.446,0.911389908
1.447,0.911389908
1.448,0.911389908
1.449,0.911389908
1.45,0.911389908
1.451,0.911389908
1.452,0.911391677
1.453,0.911396612
1.454,0.911404155
1.455,0.911413747
1.456,0.911424828
1.457,0.911436841
1.458,0.911449227
1.459,0.911461426
1.46,0.91147288
1.461,0.91148303
1.462,0.911492342
1.463,0.911501655
1.464,0.911510967
1.465,0.911520279
1.466,0.911529591
1.467,0.911538904
1.468,0.911548216
1.469,0.911557528
1.47,0.91156684
1.471,0.911576153
1.472,0.911586303
1.473,0.911597757
1.474,0.911609956
1.475,0.911622341
1.476,0.911634354
1.477,0.911645436
1.478,0.911655027
1.479,0.91166257
1.48,0.911667506
1.481,0.911669275
1.482,0.911669275
1.483,0.911669275
1.484,0.911669275
1.485,0.911669275
1.486,0.911669275
1.487,0.911669275
1.488,0.911669275
1.489,0.911669275
1.49,0.911669275
1.491,0.911669275
1.492,0.911671044
1.493,0.91167598
1.494,0.911683523
1.495,0.911693114
1.496,0.911704196
1.497,0.911716209
1.498,0.911728594
1.499,0.911740793
1.5,0.911752247
1.501,0.911762398
1.502,0.91177171
1.503,0.911781022
1.504,0.911790334
1.505,0.911799647
1.506,0.911808959
1.507,0.911818271
1.508,0.911827583
1.509,0.911836896
1.51,0.911846208
1.511,0.91185552
1.512,0.911864832
1.513,0.911874145
1.514,0.911883457
1.515,0.911892769
1.516,0.911902081
1.517,0.911911394
1.518,0.911920706
1.519,0.911930018
1.52,0.91193933
1.521,0.911948643
1.522,0.911958793
1.523,0.911970247
1.524,0.911982446
1.525,0.911994831
1.526,0.912006844
1.527,0.912017926
1.528,0.912027517
1.529,0.91203506
1.53,0.912039996
1.531,0.912041765
1.532,0.912041765
1.533,0.912041765
1.534,0.912041765
1.535,0.912041765
1.536,0.912041765
1.537,0.912041765
1.538,0.912041765
1.539,0.912041765
1.54,0.912041765
1.541,0.912041765
1.542,0.912044372
1.543,0.91205145
1.544,0.912061879
1.545,0.912074544
1.546,0.912088326
1.547,0.912102108
1.548,0.912114773
1.549,0.912125203
1.55,0.91213228
1.551,0.912134888
1.552,0.912134888
1.553,0.912134888
1.554,0.912134888
1.555,0.912134888
1.556,0.912134888
1.557,0.912134888
1.558,0.912134888
1.559,0.912134888
1.56,0.912134888
1.561,0.912134888
1.562,0.912137495
1.563,0.912144572
1.564,0.912155002
1.565,0.912167667
1.566,0.912181449
1.567,0.912195231
1.568,0.912207896
1.569,0.912218325
1.57,0.912225403
1.571,0.91222801
1.572,0.91222801
1.573,0.91222801
1.574,0.91222801
1.575,0.91222801
1.576,0.91222801
1.577,0.91222801
1.578,0.91222801
1.579,0.91222801
1.58,0.91222801
1.581,0.91222801
1.582,0.91222801
1.583,0.91222801
1.584,0.91222801
1.585,0.91222801
1.586,0.91222801
1.587,0.91222801
1.588,0.91222801
1.589,0.91222801
1.59,0.91222801
1.591,0.91222801
1.592,0.912230617
1.593,0.912237695
1.594,0.912248124
1.595,0.912260789
1.596,0.912274571
1.597,0.912288353
1.598,0.912301018
1.599,0.912311448
1.6,0.912318525
1.601,0.912321133
1.602,0.912321133
1.603,0.912321133
1.604,0.912321133
1.605,0.912321133
1.606,0.912321133
1.607,0.912321133
1.608,0.912321133
1.609,0.912321133
1.61,0.912321133
1.611,0.912321133
1.612,0.912322902
1.613,0.912327837
1.614,0.91233538
1.615,0.912344972
1.616,0.912356053
1.617,0.912368066
1.618,0.912380452
1.619,0.912392651
1.62,0.912404105
1.621,0.912414255
1.622,0.912424405
1.623,0.912435859
1.624,0.912448058
1.625,0.912460444
1.626,0.912472457
1.627,0.912483538
1.628,0.91249313
1.629,0.912500673
1.63,0.912505608
1.631,0.912507378
1.632,0.912507378
1.633,0.912507378
1.634,0.912507378
1.635,0.912507378
1.636,0.912507378
1.637,0.912507378
1.638,0.912507378
1.639,0.912507378
1.64,0.912507378
1.641,0.912507378
1.642,0.912509147
1.643,0.912514082
1.644,0.912521625
1.645,0.912531217
1.646,0.912542298
1.647,0.912554311
1.648,0.912566697
1.649,0.912578896
1.65,0.91259035
1.651,0.9126005
1.652,0.912609812
1.653,0.912619125
1.654,0.912628437
1.655,0.912637749
1.656,0.912647061
1.657,0.912656374
1.658,0.912665686
1.659,0.912674998
1.66,0.91268431
1.661,0.912693623
1.662,0.912702935
1.663,0.912712247
1.664,0.912721559
1.665,0.912730872
1.666,0.912740184
1.667,0.912749496
1.668,0.912758808
1.669,0.912768121
1.67,0.912777433
1.671,0.912786745
1.672,0.912796057
1.673,0.91280537
1.674,0.912814682
1.675,0.912823994
1.676,0.912833306
1.677,0.912842619
1.678,0.912851931
1.679,0.912861243
1.68,0.912870555
1.681,0.912879868
1.682,0.91288918
1.683,0.912898492
1.684,0.912907804
1.685,0.912917117
1.686,0.912926429
1.687,0.912935741
1.688,0.912945053
1.689,0.912954366
1.69,0.912963678
1.691,0.91297299
1.692,0.91298314
1.693,0.912994594
1.694,0.913006793
1.695,0.913019179
1.696,0.913031192
1.697,0.913042273
1.698,0.913051865
1.699,0.913059408
1.7,0.913064343
1.701,0.913066113
1.702,0.913066113
1.703,0.913066113
1.704,0.913066113
1.705,0.913066113
1.706,0.913066113
1.707,0.913066113
1.708,0.913066113
1.709,0.913066113
1.71,0.913066113
1.711,0.913066113
1.712,0.91306872
1.713,0.913075797
1.714,0.913086227
1.715,0.913098892
1.716,0.913112674
1.717,0.913126456
1.718,0.913139121
1.719,0.91314955
1.72,0.913156628
1.721,0.913159235
1.722,0.913159235
1.723,0.913159235
1.724,0.913159235
1.725,0.913159235
1.726,0.913159235
1.727,0.913159235
1.728,0.913159235
1.729,0.913159235
1.73,0.913159235
1.731,0.913159235
1.732,0.913161004
1.733,0.91316594
1.734,0.913173483
1.735,0.913183074
1.736,0.913194156
1.737,0.913206169
1.738,0.913218554
1.739,0.913230753
1.74,0.913242207
1.741,0.913252358
1.742,0.913262508
1.743,0.913273962
1.744,0.913286161
1.745,0.913298546
1.746,0.913310559
1.747,0.913321641
1.748,0.913331232
1.749,0.913338775
1.75,0.913343711
1.751,0.91334548
1.752,0.91334548
1.753,0.91334548
1.754,0.91334548
1.755,0.91334548
1.756,0.91334548
1.757,0.91334548
1.758,0.91334548
1.759,0.91334548
1.76,0.91334548
1.761,0.91334548
1.762,0.91334548
1.763,0.91334548
1.764,0.91334548
1.765,0.91334548
1.766,0.91334548
1.767,0.91334548
1.768,0.91334548
1.769,0.91334548
1.77,0.91334548
1.771,0.91334548
1.772,0.913348087
1.773,0.913355165
1.774,0.913365594
1.775,0.913378259
1.776,0.913392041
1.777,0.913405823
1.778,0.913418488
1.779,0.913428918
1.78,0.913435995
1.781,0.913438603
1.782,0.913438603
1.783,0.913438603
1.784,0.913438603
1.785,0.913438603
1.786,0.913438603
1.787,0.913438603
1.788,0.913438603
1.789,0.913438603
1.79,0.913438603
1.791,0.913438603
1.792,0.913438603
1.793,0.913438603
1.794,0.913438603
1.795,0.913438603
1.796,0.913438603
1.797,0.913438603
1.798,0.913438603
1.799,0.913438603
1.8,0.913438603
1.801,0.913438603
1.802,0.91344121
1.803,0.913448287
1.804,0.913458717
1.805,0.913471382
1.806,0.913485164
1.807,0.913498946
1.808,0.913511611
1.809,0.91352204
1.81,0.913529118
1.811,0.913531725
1.812,0.913531725
1.813,0.913531725
1.814,0.913531725
1.815,0.913531725
1.816,0.913531725
1.817,0.913531725
1.818,0.913531725
1.819,0.913531725
1.82,0.913531725
1.821,0.913531725
1.822,0.913533494
1.823,0.91353843
1.824,0.913545973
1.825,0.913555564
1.826,0.913566646
1.827,0.913578659
1.828,0.913591044
1.829,0.913603243
1.83,0.913614697
1.831,0.913624848
1.832,0.913634998
1.833,0.913646452
1.834,0.913658651
1.835,0.913671036
1.836,0.913683049
1.837,0.913694131
1.838,0.913703722
1.839,0.913711265
1.84,0.913716201
1.841,0.91371797
1.842,0.91371797
1.843,0.91371797
1.844,0.91371797
1.845,0.91371797
1.846,0.91371797
1.847,0.91371797
1.848,0.91371797
1.849,0.91371797
1.85,0.91371797
1.851,0.91371797
1.852,0.913720577
1.853,0.913727655
1.854,0.913738084
1.855,0.913750749
1.856,0.913764531
1.857,0.913778313
1.858,0.913790978
1.859,0.913801408
1.86,0.913808485
1.861,0.913811093
1.862,0.913811093
1.863,0.913811093
1.864,0.913811093
1.865,0.913811093
1.866,0.913811093
1.867,0.913811093
1.868,0.913811093
1.869,0.913811093
1.87,0.913811093
1.871,0.913811093
1.872,0.9138137
1.873,0.913820777
1.874,0.913831207
1.875,0.913843872
1.876,0.913857654
1.877,0.913871436
1.878,0.913884101
1.879,0.91389453
1.88,0.913901608
1.881,0.913904215
1.882,0.913904215
1.883,0.913904215
1.884,0.913904215
1.885,0.913904215
1.886,0.913904215
1.887,0.913904215
1.888,0.913904215
1.889,0.913904215
1.89,0.913904215
1.891,0.913904215
1.892,0.913906822
1.893,0.9139139
1.894,0.913924329
1.895,0.913936994
1.896,0.913950776
1.897,0.913964558
1.898,0.913977223
1.899,0.913987653
1.9,0.91399473
1.901,0.913997338
1.902,0.913997338
1.903,0.913997338
1.904,0.913997338
1.905,0.913997338
1.906,0.913997338
1.907,0.913997338
1.908,0.913997338
1.909,0.913997338
1.91,0.913997338
1.911,0.913997338
1.912,0.913999945
1.913,0.914007022
1.914,0.914017452
1.915,0.914030117
1.916,0.914043899
1.917,0.914057681
1.918,0.914070346
1.919,0.914080775
1.92,0.914087853
1.921,0.91409046
1.922,0.91409046
1.923,0.91409046
1.924,0.91409046
1.925,0.91409046
1.926,0.91409046
1.927,0.91409046
1.928,0.91409046
1.929,0.91409046
1.93,0.91409046
1.931,0.91409046
1.932,0.914093067
1.933,0.914100145
1.934,0.914110574
1.935,0.914123239
1.936,0.914137021
1.937,0.914150803
1.938,0.914163468
1.939,0.914173898
1.94,0.914180975
1.941,0.914183583
1.942,0.914183583
1.943,0.914183583
1.944,0.914183583
1.945,0.914183583
1.946,0.914183583
1.947,0.914183583
1.948,0.914183583
1.949,0.914183583
1.95,0.914183583
1.951,0.914183583
1.952,0.91418619
1.953,0.914193267
1.954,0.914203697
1.955,0.914216362
1.956,0.914230144
1.957,0.914243926
1.958,0.914256591
1.959,0.91426702
1.96,0.914274098
1.961,0.914276705
1.962,0.914276705
1.963,0.914276705
1.964,0.914276705
1.965,0.914276705
1.966,0.914276705
1.967,0.914276705
1.968,0.914276705
1.969,0.914276705
1.97,0.914276705
1.971,0.914276705
1.972,0.914278474
1.973,0.91428341
1.974,0.914290953
1.975,0.914300544
1.976,0.914311626
1.977,0.914323639
1.978,0.914336024
1.979,0.914348223
1.98,0.914359677
1.981,0.914369828
1.982,0.914379978
1.983,0.914391432
1.984,0.914403631
1.985,0.914416016
1.986,0.914428029
1.987,0.914439111
1.988,0.914448702
1.989,0.914456245
1.99,0.914461181
1.991,0.91446295
1.992,0.91446295
1.993,0.91446295
1.994,0.91446295
1.995,0.91446295
1.996,0.91446295
1.997,0.91446295
1.998,0.91446295
1.999,0.91446295
2,0.91446295
2.001,0.91446295
2.002,0.914465557
2.003,0.914472635
2.004,0.914483064
2.005,0.914495729
2.006,0.914509511
2.007,0.914523293
2.008,0.914535958
2.009,0.914546388
2.01,0.914553465
2.011,0.914556073
2.012,0.914556073
2.013,0.914556073
2.014,0.914556073
2.015,0.914556073
2.016,0.914556073
2.017,0.914556073
2.018,0.914556073
2.019,0.914556073
2.02,0.914556073
2.021,0.914556073
2.022,0.914556073
2.023,0.914556073
2.024,0.914556073
2.025,0.914556073
2.026,0.914556073
2.027,0.914556073
2.028,0.914556073
2.029,0.914556073
2.03,0.914556073
2.031,0.914556073
2.032,0.914556073
2.033,0.914556073
2.034,0.914556073
2.035,0.914556073
2.036,0.914556073
2.037,0.914556073
2.038,0.914556073
2.039,0.914556073
2.04,0.914556073
2.041,0.914556073
2.042,0.914556073
2.043,0.914556073
2.044,0.914556073
2.045,0.914556073
2.046,0.914556073
2.047,0.914556073
2.048,0.914556073
2.049,0.914556073
2.05,0.914556073
2.051,0.914556073
2.052,0.914556073
2.053,0.914556073
2.054,0.914556073
2.055,0.914556073
2.056,0.914556073
2.057,0.914556073
2.058,0.914556073
2.059,0.914556073
2.06,0.914556073
2.061,0.914556073
2.062,0.91455868
2.063,0.914565757
2.064,0.914576187
2.065,0.914588852
2.066,0.914602634
2.067,0.914616416
2.068,0.914629081
2.069,0.91463951
2.07,0.914646588
2.071,0.914649195
2.072,0.914649195
2.073,0.914649195
2.074,0.914649195
2.075,0.914649195
2.076,0.914649195
2.077,0.914649195
2.078,0.914649195
2.079,0.914649195
2.08,0.914649195
2.081,0.914649195
2.082,0.914649195
2.083,0.914649195
2.084,0.914649195
2.085,0.914649195
2.086,0.914649195
2.087,0.914649195
2.088,0.914649195
2.089,0.914649195
2.09,0.914649195
2.091,0.914649195
2.092,0.914649195
2.093,0.914649195
2.094,0.914649195
2.095,0.914649195
2.096,0.914649195
2.097,0.914649195
2.098,0.914649195
2.099,0.914649195
2.1,0.914649195
2.101,0.914649195
2.102,0.914649195
2.103,0.914649195
2.104,0.914649195
2.105,0.914649195
2.106,0.914649195
2.107,0.914649195
2.108,0.914649195
2.109,0.914649195
2.11,0.914649195
2.111,0.914649195
2.112,0.914651802
2.113,0.91465888
2.114,0.914669309
2.115,0.914681974
2.116,0.914695756
2.117,0.914709538
2.118,0.914722203
2.119,0.914732633
2.12,0.91473971
2.121,0.914742318
2.122,0.914742318
2.123,0.914742318
2.124,0.914742318
2.125,0.914742318
2.126,0.914742318
2.127,0.914742318
2.128,0.914742318
2.129,0.914742318
2.13,0.914742318
2.131,0.914742318
2.132,0.914744925
2.133,0.914752002
2.134,0.914762432
2.135,0.914775097
2.136,0.914788879
2.137,0.914802661
2.138,0.914815326
2.139,0.914825755
2.14,0.914832833
2.141,0.91483544
2.142,0.91483544
2.143,0.91483544
2.144,0.91483544
2.145,0.91483544
2.146,0.91483544
2.147,0.91483544
2.148,0.91483544
2.149,0.91483544
2.15,0.91483544
2.151,0.91483544
2.152,0.914838047
2.153,0.914845125
2.154,0.914855554
2.155,0.914868219
2.156,0.914882001
2.157,0.914895783
2.158,0.914908448
2.159,0.914918878
2.16,0.914925955
2.161,0.914928563
2.162,0.914928563
