Wavelength,Keck AO dichroic
1.503,0.931543492
1.504,0.932343665
1.505,0.933134432
1.506,0.933914444
1.507,0.934682354
1.508,0.935436815
1.509,0.936176479
1.51,0.9369
1.511,0.937611039
1.512,0.938313472
1.513,0.939006274
1.514,0.939688417
1.515,0.940358876
1.516,0.941016625
1.517,0.941660638
1.518,0.942289889
1.519,0.942903352
1.52,0.9435
1.521,0.944084761
1.522,0.944662067
1.523,0.94523015
1.524,0.945787243
1.525,0.946331577
1.526,0.946861385
1.527,0.9473749
1.528,0.947870352
1.529,0.948345975
1.53,0.9488
1.531,0.949237149
1.532,0.949662976
1.533,0.950076964
1.534,0.950478598
1.535,0.950867359
1.536,0.951242732
1.537,0.951604199
1.538,0.951951244
1.539,0.95228335
1.54,0.9526
1.541,0.95290092
1.542,0.953187494
1.543,0.953461691
1.544,0.953725482
1.545,0.953980835
1.546,0.954229722
1.547,0.954474113
1.548,0.954715976
1.549,0.954957281
1.55,0.9552
1.551,0.955447156
1.552,0.955698469
1.553,0.95595095
1.554,0.956201611
1.555,0.956447463
1.556,0.956685518
1.557,0.956912788
1.558,0.957126284
1.559,0.957323017
1.56,0.9575
1.561,0.95766445
1.562,0.957824711
1.563,0.957979483
1.564,0.958127467
1.565,0.958267361
1.566,0.958397867
1.567,0.958517683
1.568,0.958625511
1.569,0.95872005
1.57,0.9588
1.571,0.9588725
1.572,0.958944444
1.573,0.959014167
1.574,0.95908
1.575,0.959140278
1.576,0.959193333
1.577,0.9592375
1.578,0.959271111
1.579,0.9592925
1.58,0.9593
1.581,0.95927504
1.582,0.95920592
1.583,0.95910128
1.584,0.95896976
1.585,0.95882
1.586,0.95866064
1.587,0.95850032
1.588,0.95834768
1.589,0.95821136
1.59,0.9581
1.591,0.958010268
1.592,0.957930996
1.593,0.957859073
1.594,0.957791388
1.595,0.957724828
1.596,0.957656281
1.597,0.957582637
1.598,0.957500783
1.599,0.957407608
1.6,0.9573
1.601,0.957172749
1.602,0.957023597
1.603,0.956853861
1.604,0.956664859
1.605,0.956457907
1.606,0.956234322
1.607,0.955995423
1.608,0.955742524
1.609,0.955476944
1.61,0.9552
1.611,0.954886826
1.612,0.95451888
1.613,0.954106967
1.614,0.95366189
1.615,0.953194453
1.616,0.95271546
1.617,0.952235714
1.618,0.95176602
1.619,0.951317181
1.62,0.9509
1.621,0.950513135
1.622,0.950144435
1.623,0.949788494
1.624,0.949439905
1.625,0.949093262
1.626,0.948743158
1.627,0.948384186
1.628,0.94801094
1.629,0.947618014
1.63,0.9472
1.631,0.946750071
1.632,0.946268917
1.633,0.945762408
1.634,0.945236414
1.635,0.944696805
1.636,0.944149452
1.637,0.943600225
1.638,0.943054994
1.639,0.942519629
1.64,0.942
1.641,0.94149114
1.642,0.940984186
1.643,0.94047916
1.644,0.939976086
1.645,0.93947499
1.646,0.938975894
1.647,0.938478824
1.648,0.937983802
1.649,0.937490852
1.65,0.937
1.651,0.936516865
1.652,0.936044528
1.653,0.9355792
1.654,0.935117094
1.655,0.934654422
1.656,0.934187396
1.657,0.933712229
1.658,0.933225132
1.659,0.932722318
1.66,0.9322
1.661,0.931645692
1.662,0.931055795
1.663,0.930439846
1.664,0.929807385
1.665,0.929167949
1.666,0.928531077
1.667,0.927906308
1.668,0.927303179
1.669,0.926731231
1.67,0.9262
1.671,0.925703284
1.672,0.925226649
1.673,0.924767292
1.674,0.924322409
1.675,0.923889194
1.676,0.923464844
1.677,0.923046554
1.678,0.922631519
1.679,0.922216936
1.68,0.9218
1.681,0.921388212
1.682,0.920988563
1.683,0.920597483
1.684,0.920211403
1.685,0.919826752
1.686,0.919439961
1.687,0.919047461
1.688,0.91864568
1.689,0.91823105
1.69,0.9178
1.691,0.91734726
1.692,0.916873199
1.693,0.916382707
1.694,0.915880675
1.695,0.915371993
1.696,0.914861551
1.697,0.914354241
1.698,0.913854952
1.699,0.913368575
1.7,0.9129
1.701,0.912443316
1.702,0.911989992
1.703,0.911540991
1.704,0.911097279
1.705,0.910659817
1.706,0.910229571
1.707,0.909807502
1.708,0.909394575
1.709,0.908991753
1.71,0.9086
1.711,0.908221798
1.712,0.907857162
1.713,0.907503356
1.714,0.907157641
1.715,0.906817281
1.716,0.906479538
1.717,0.906141676
1.718,0.905800957
1.719,0.905454644
1.72,0.9051
1.721,0.904727621
1.722,0.904335098
1.723,0.903930183
1.724,0.903520629
1.725,0.903114187
1.726,0.90271861
1.727,0.90234165
1.728,0.90199106
1.729,0.901674593
1.73,0.9014
1.731,0.901159066
1.732,0.900936617
1.733,0.900729965
1.734,0.900536423
1.735,0.900353304
1.736,0.90017792
1.737,0.900007585
1.738,0.899839611
1.739,0.899671312
1.74,0.8995
1.741,0.899325568
1.742,0.89915063
1.743,0.898976578
1.744,0.898804805
1.745,0.898636703
1.746,0.898473665
1.747,0.898317083
1.748,0.89816835
1.749,0.898028858
1.75,0.8979
1.751,0.897779719
1.752,0.897664814
1.753,0.897554959
1.754,0.897449828
1.755,0.897349095
1.756,0.897252434
1.757,0.89715952
1.758,0.897070027
1.759,0.896983629
1.76,0.8969
1.761,0.896813694
1.762,0.896721788
1.763,0.896627741
1.764,0.896535012
1.765,0.896447059
1.766,0.896367341
1.767,0.896299318
1.768,0.896246447
1.769,0.896212188
1.77,0.8962
1.771,0.89622314
1.772,0.896288053
1.773,0.89638798
1.774,0.89651616
1.775,0.896665833
1.776,0.89683024
1.777,0.89700262
1.778,0.897176213
1.779,0.89734426
1.78,0.8975
1.781,0.897648726
1.782,0.897800625
1.783,0.89795628
1.784,0.898116274
1.785,0.89828119
1.786,0.898451611
1.787,0.89862812
1.788,0.898811299
1.789,0.899001731
1.79,0.8992
1.791,0.899415091
1.792,0.899652071
1.793,0.89990564
1.794,0.900170498
1.795,0.900441348
1.796,0.90071289
1.797,0.900979826
1.798,0.901236855
1.799,0.901478679
1.8,0.9017
1.801,0.90189875
1.802,0.902079784
1.803,0.902248182
1.804,0.902409026
1.805,0.902567397
1.806,0.902728376
1.807,0.902897045
1.808,0.903078484
1.809,0.903277776
1.81,0.9035
1.811,0.903761819
1.812,0.904069407
1.813,0.904412115
1.814,0.904779297
1.815,0.905160302
1.816,0.905544484
1.817,0.905921192
1.818,0.90627978
1.819,0.906609599
1.82,0.9069
1.821,0.907151012
1.822,0.907374836
1.823,0.907579083
1.824,0.907771364
1.825,0.907959291
1.826,0.908150475
1.827,0.908352526
1.828,0.908573057
1.829,0.908819678
1.83,0.9091
1.831,0.909437671
1.832,0.909841962
1.833,0.910298916
1.834,0.91079458
1.835,0.911314999
1.836,0.911846218
1.837,0.912374282
1.838,0.912885237
1.839,0.913365128
1.84,0.9138
1.841,0.914199102
1.842,0.914582692
1.843,0.914953329
1.844,0.915313571
1.845,0.915665977
1.846,0.916013104
1.847,0.916357511
1.848,0.916701758
1.849,0.917048401
1.85,0.9174
1.851,0.917749715
1.852,0.9180911
1.853,0.918427302
1.854,0.918761469
1.855,0.919096748
1.856,0.919436288
1.857,0.919783235
1.858,0.920140738
1.859,0.920511944
1.86,0.9209
1.861,0.921316831
1.862,0.92176646
1.863,0.922240186
1.864,0.922729306
1.865,0.923225119
1.866,0.923718922
1.867,0.924202014
1.868,0.924665692
1.869,0.925101255
1.87,0.9255
1.871,0.925864055
1.872,0.926204741
1.873,0.926527151
1.874,0.926836376
1.875,0.927137509
1.876,0.927435641
1.877,0.927735865
1.878,0.928043271
1.879,0.928362952
1.88,0.9287
1.881,0.929058799
1.882,0.929436733
1.883,0.929828393
1.884,0.93022837
1.885,0.930631255
1.886,0.931031641
1.887,0.931424116
1.888,0.931803274
1.889,0.932163705
1.89,0.9325
1.891,0.932809917
1.892,0.933098491
1.893,0.933371234
1.894,0.933633656
1.895,0.933891266
1.896,0.934149574
1.897,0.934414092
1.898,0.934690329
1.899,0.934983795
1.9,0.9353
1.901,0.935644226
1.902,0.936014634
1.903,0.936406053
1.904,0.936813314
1.905,0.937231245
1.906,0.937654677
1.907,0.938078439
1.908,0.93849736
1.909,0.93890627
1.91,0.9393
1.911,0.9396808
1.912,0.940055336
1.913,0.940425057
1.914,0.940791411
1.915,0.941155848
1.916,0.941519818
1.917,0.941884769
1.918,0.94225215
1.919,0.942623411
1.92,0.943
1.921,0.943383584
1.922,0.943773609
1.923,0.944168194
1.924,0.944565459
1.925,0.944963522
1.926,0.945360504
1.927,0.945754523
1.928,0.9461437
1.929,0.946526152
1.93,0.9469
1.931,0.947263622
1.932,0.947618162
1.933,0.947965892
1.934,0.948309081
1.935,0.94865
1.936,0.948990919
1.937,0.949334108
1.938,0.949681838
1.939,0.950036378
1.94,0.9504
1.941,0.950779944
1.942,0.951177976
1.943,0.951588151
1.944,0.952004523
1.945,0.952421149
1.946,0.952832082
1.947,0.953231379
1.948,0.953613094
1.949,0.953971283
1.95,0.9543
1.951,0.954599699
1.952,0.954877953
1.953,0.955139495
1.954,0.955389059
1.955,0.955631379
1.956,0.955871189
1.957,0.956113222
1.958,0.956362212
1.959,0.956622894
1.96,0.9569
1.961,0.957194115
1.962,0.957500931
1.963,0.957817841
1.964,0.958142241
1.965,0.958471524
1.966,0.958803085
1.967,0.959134319
1.968,0.95946262
1.969,0.959785382
1.97,0.9601
1.971,0.960411993
1.972,0.960727156
1.973,0.961043303
1.974,0.961358243
1.975,0.961669789
1.976,0.961975752
1.977,0.962273943
1.978,0.962562174
1.979,0.962838256
1.98,0.9631
1.981,0.963344698
1.982,0.96357366
1.983,0.96379073
1.984,0.96399975
1.985,0.964204563
1.986,0.96440901
1.987,0.964616935
1.988,0.96483218
1.989,0.965058587
1.99,0.9653
1.991,0.965566063
1.992,0.965858578
1.993,0.96616962
1.994,0.966491264
1.995,0.966815586
1.996,0.967134661
1.997,0.967440564
1.998,0.967725372
1.999,0.967981159
2,0.9682
2.001,0.968385817
2.002,0.968550986
2.003,0.968700264
2.004,0.968838411
2.005,0.968970185
2.006,0.969100344
2.007,0.969233647
2.008,0.969374852
2.009,0.969528717
2.01,0.9697
2.011,0.969897285
2.012,0.970121152
2.013,0.970364361
2.014,0.970619668
2.015,0.970879831
2.016,0.971137607
2.017,0.971385755
2.018,0.971617031
2.019,0.971824194
2.02,0.972
2.021,0.972149006
2.022,0.972282789
2.023,0.97240464
2.024,0.972517851
2.025,0.972625714
2.026,0.97273152
2.027,0.97283856
2.028,0.972950126
2.029,0.973069509
2.03,0.9732
2.031,0.973340639
2.032,0.973487731
2.033,0.973640471
2.034,0.97379805
2.035,0.973959664
2.036,0.974124504
2.037,0.974291765
2.038,0.974460639
2.039,0.974630319
2.04,0.9748
2.041,0.974979524
2.042,0.975175247
2.043,0.975381135
2.044,0.975591153
2.045,0.975799265
2.046,0.975999435
2.047,0.976185629
2.048,0.976351812
2.049,0.976491947
2.05,0.9766
2.051,0.976683885
2.052,0.976756923
2.053,0.976821192
2.054,0.976878769
2.055,0.976931731
2.056,0.976982154
2.057,0.977032115
2.058,0.977083692
2.059,0.977138962
2.06,0.9772
2.061,0.977266123
2.062,0.977334831
2.063,0.977405477
2.064,0.977477415
2.065,0.97755
2.066,0.977622585
2.067,0.977694523
2.068,0.977765169
2.069,0.977833877
2.07,0.9779
2.071,0.977962388
2.072,0.978021108
2.073,0.978077335
2.074,0.978132246
2.075,0.978187019
2.076,0.978242831
2.077,0.978300858
2.078,0.978362277
2.079,0.978428265
2.08,0.9785
2.081,0.978580224
2.082,0.978669684
2.083,0.978766566
2.084,0.978869053
2.085,0.978975329
2.086,0.979083579
2.087,0.979191987
2.088,0.979298737
2.089,0.979402013
2.09,0.9795
2.091,0.979590944
2.092,0.979675777
2.093,0.979756713
2.094,0.979835964
2.095,0.979915742
2.096,0.979998262
2.097,0.980085734
2.098,0.980180373
2.099,0.980284391
2.1,0.9804
2.101,0.980552136
2.102,0.980753943
2.103,0.98098995
2.104,0.981244686
2.105,0.981502679
2.106,0.981748457
2.107,0.98196655
2.108,0.982141486
2.109,0.982257793
2.11,0.9823
2.111,0.9822272
2.112,0.9820296
2.113,0.9817384
2.114,0.9813848
2.115,0.981
2.116,0.9806152
2.117,0.9802616
2.118,0.9799704
2.119,0.9797728
2.12,0.9797
2.121,0.979714
2.122,0.979752
2.123,0.979808
2.124,0.979876
2.125,0.97995
2.126,0.980024
2.127,0.980092
2.128,0.980148
2.129,0.980186
2.13,0.9802
2.131,0.9802
2.132,0.9802
