Wavelength,Protected Au
1.65,0.98
1.651,0.98001
1.652,0.98002
1.653,0.98003
1.654,0.98004
1.655,0.98005
1.656,0.98006
1.657,0.98007
1.658,0.98008
1.659,0.98009
1.66,0.9801
1.661,0.98011
1.662,0.98012
1.663,0.98013
1.664,0.98014
1.665,0.98015
1.666,0.98016
1.667,0.98017
1.668,0.98018
1.669,0.98019
1.67,0.9802
1.671,0.98021
1.672,0.98022
1.673,0.98023
1.674,0.98024
1.675,0.98025
1.676,0.98026
1.677,0.98027
1.678,0.98028
1.679,0.98029
1.68,0.9803
1.681,0.98031
1.682,0.98032
1.683,0.98033
1.684,0.98034
1.685,0.98035
1.686,0.98036
1.687,0.98037
1.688,0.98038
1.689,0.98039
1.69,0.9804
1.691,0.9804109
1.692,0.9804232
1.693,0.9804363
1.694,0.9804496
1.695,0.9804625
1.696,0.9804744
1.697,0.9804847
1.698,0.9804928
1.699,0.9804981
1.7,0.9805
1.701,0.9805
1.702,0.9805
1.703,0.9805
1.704,0.9805
1.705,0.9805
1.706,0.9805
1.707,0.9805
1.708,0.9805
1.709,0.9805
1.71,0.9805
1.711,0.9805028
1.712,0.9805104
1.713,0.9805216
1.714,0.9805352
1.715,0.98055
1.716,0.9805648
1.717,0.9805784
1.718,0.9805896
1.719,0.9805972
1.72,0.9806
1.721,0.9806
1.722,0.9806
1.723,0.9806
1.724,0.9806
1.725,0.9806
1.726,0.9806
1.727,0.9806
1.728,0.9806
1.729,0.9806
1.73,0.9806
1.731,0.9806019
1.732,0.9806072
1.733,0.9806153
1.734,0.9806256
1.735,0.9806375
1.736,0.9806504
1.737,0.9806637
1.738,0.9806768
1.739,0.9806891
1.74,0.9807
1.741,0.9807109
1.742,0.9807232
1.743,0.9807363
1.744,0.9807496
1.745,0.9807625
1.746,0.9807744
1.747,0.9807847
1.748,0.9807928
1.749,0.9807981
1.75,0.9808
1.751,0.9808
1.752,0.9808
1.753,0.9808
1.754,0.9808
1.755,0.9808
1.756,0.9808
1.757,0.9808
1.758,0.9808
1.759,0.9808
1.76,0.9808
1.761,0.9808
1.762,0.9808
1.763,0.9808
1.764,0.9808
1.765,0.9808
1.766,0.9808
1.767,0.9808
1.768,0.9808
1.769,0.9808
1.77,0.9808
1.771,0.9808028
1.772,0.9808104
1.773,0.9808216
1.774,0.9808352
1.775,0.98085
1.776,0.9808648
1.777,0.9808784
1.778,0.9808896
1.779,0.9808972
1.78,0.9809
1.781,0.9809
1.782,0.9809
1.783,0.9809
1.784,0.9809
1.785,0.9809
1.786,0.9809
1.787,0.9809
1.788,0.9809
1.789,0.9809
1.79,0.9809
1.791,0.9809
1.792,0.9809
1.793,0.9809
1.794,0.9809
1.795,0.9809
1.796,0.9809
1.797,0.9809
1.798,0.9809
1.799,0.9809
1.8,0.9809
1.801,0.9809028
1.802,0.9809104
1.803,0.9809216
