Wavelength,Fiber prop
1.539,0.78281284
1.54,0.783304697
1.541,0.78379973
1.542,0.78430433
1.543,0.784814398
1.544,0.785325832
1.545,0.785834532
1.546,0.786336399
1.547,0.786827332
1.548,0.787303231
1.549,0.787759995
1.55,0.788193525
1.551,0.788604304
1.552,0.788997599
1.553,0.789376481
1.554,0.789744024
1.555,0.790103301
1.556,0.790457383
1.557,0.790809345
1.558,0.791162258
1.559,0.791519197
1.56,0.791883232
1.561,0.79225321
1.562,0.792625304
1.563,0.792998575
1.564,0.793372087
1.565,0.793744901
1.566,0.79411608
1.567,0.794484687
1.568,0.794849784
1.569,0.795210434
1.57,0.7955657
1.571,0.795916801
1.572,0.796265447
1.573,0.796611433
1.574,0.796954557
1.575,0.797294613
1.576,0.797631398
1.577,0.797964708
1.578,0.798294339
1.579,0.798620087
1.58,0.798941748
1.581,0.799258215
1.582,0.799569167
1.583,0.799875576
1.584,0.800178417
1.585,0.800478662
1.586,0.800777285
1.587,0.801075259
1.588,0.801373557
1.589,0.801673154
1.59,0.801975021
1.591,0.802274908
1.592,0.802569443
1.593,0.802860919
1.594,0.803151631
1.595,0.803443872
1.596,0.803739936
1.597,0.804042117
1.598,0.804352707
1.599,0.804674002
1.6,0.805008294
1.601,0.805355997
1.602,0.805715451
1.603,0.806085843
1.604,0.806466356
1.605,0.806856177
1.606,0.807254491
1.607,0.807660483
1.608,0.808073339
1.609,0.808492243
1.61,0.808916381
1.611,0.809350947
1.612,0.809799991
1.613,0.810260979
1.614,0.81073138
1.615,0.811208661
1.616,0.81169029
1.617,0.812173735
1.618,0.812656463
1.619,0.813135943
1.62,0.813609641
1.621,0.81408519
1.622,0.814569457
1.623,0.81505876
1.624,0.815549418
1.625,0.816037749
1.626,0.816520073
1.627,0.816992709
1.628,0.817451974
1.629,0.817894187
1.63,0.818315668
1.631,0.818727158
1.632,0.819139057
1.633,0.819547177
1.634,0.819947326
1.635,0.820335313
1.636,0.820706948
1.637,0.82105804
1.638,0.821384398
1.639,0.821681833
1.64,0.821946153
1.641,0.822181133
1.642,0.82239574
1.643,0.822593569
1.644,0.822778214
1.645,0.822953272
1.646,0.823122338
1.647,0.823289007
1.648,0.823456874
1.649,0.823629536
1.65,0.823810586
1.651,0.823996253
1.652,0.824180711
1.653,0.824364479
1.654,0.824548074
1.655,0.824732014
1.656,0.824916818
1.657,0.825103002
1.658,0.825291086
1.659,0.825481586
1.66,0.82567502
1.661,0.825871754
1.662,0.826071491
1.663,0.826273755
1.664,0.826478071
1.665,0.826683964
1.666,0.826890959
1.667,0.82709858
1.668,0.827306352
1.669,0.8275138
1.67,0.827720449
1.671,0.827926211
1.672,0.82813153
1.673,0.828336731
1.674,0.828542139
1.675,0.828748077
1.676,0.828954869
1.677,0.829162841
1.678,0.829372315
1.679,0.829583617
1.68,0.82979707
1.681,0.830011871
1.682,0.83022726
1.683,0.830443623
1.684,0.830661349
1.685,0.830880826
1.686,0.831102441
1.687,0.831326581
1.688,0.831553636
1.689,0.831783992
1.69,0.832018038
1.691,0.832257057
1.692,0.832501443
1.693,0.832750248
1.694,0.833002527
1.695,0.833257331
1.696,0.833513713
1.697,0.833770727
1.698,0.834027425
1.699,0.834282861
1.7,0.834536086
1.701,0.834789385
1.702,0.835045007
1.703,0.835301957
1.704,0.835559238
1.705,0.835815856
1.706,0.836070815
1.707,0.836323117
1.708,0.836571769
1.709,0.836815773
1.71,0.837054134
1.711,0.837286928
1.712,0.837515321
1.713,0.837739953
1.714,0.837961463
1.715,0.83818049
1.716,0.838397674
1.717,0.838613654
1.718,0.83882907
1.719,0.839044561
1.72,0.839260767
1.721,0.839479142
1.722,0.839699837
1.723,0.839921537
1.724,0.840142925
1.725,0.840362684
1.726,0.8405795
1.727,0.840792056
1.728,0.840999035
1.729,0.841199122
1.73,0.841391001
1.731,0.841577023
1.732,0.841760106
1.733,0.84193978
1.734,0.842115579
1.735,0.842287035
1.736,0.842453678
1.737,0.842615041
1.738,0.842770655
1.739,0.842920053
1.74,0.843062767
1.741,0.843198192
1.742,0.843326835
1.743,0.843449892
1.744,0.843568561
1.745,0.843684038
1.746,0.84379752
1.747,0.843910205
1.748,0.844023288
1.749,0.844137967
1.75,0.844255439
1.751,0.844373196
1.752,0.844488604
1.753,0.844602671
1.754,0.844716401
1.755,0.844830803
1.756,0.844946882
1.757,0.845065646
1.758,0.845188101
1.759,0.845315254
1.76,0.845448111
1.761,0.845588317
1.762,0.845735984
1.763,0.845889825
1.764,0.846048549
1.765,0.846210868
1.766,0.846375493
1.767,0.846541135
1.768,0.846706505
1.769,0.846870315
1.77,0.847031274
1.771,0.847190551
1.772,0.84735013
1.773,0.847509951
1.774,0.847669952
1.775,0.847830071
1.776,0.847990247
1.777,0.848150417
1.778,0.848310522
1.779,0.848470498
1.78,0.848630285
1.781,0.848791529
1.782,0.848955209
1.783,0.849120261
1.784,0.849285622
1.785,0.849450228
1.786,0.849613016
1.787,0.849772922
1.788,0.849928883
1.789,0.850079834
1.79,0.850224713
1.791,0.85036348
1.792,0.850497379
1.793,0.850627267
1.794,0.850754006
1.795,0.850878453
1.796,0.851001468
1.797,0.85112391
1.798,0.851246639
1.799,0.851370513
1.8,0.851496392
1.801,0.85162356
1.802,0.851750728
1.803,0.851877896
1.804,0.852005064
1.805,0.852132232
1.806,0.852259399
1.807,0.852386567
1.808,0.852513735
1.809,0.852640903
1.81,0.852768071
1.811,0.852896235
1.812,0.853025947
1.813,0.853156545
1.814,0.853287364
1.815,0.85341774
1.816,0.85354701
1.817,0.85367451
1.818,0.853799576
1.819,0.853921544
1.82,0.85403975
1.821,0.854154247
1.822,0.854265829
1.823,0.854374951
1.824,0.854482062
1.825,0.854587617
1.826,0.854692068
1.827,0.854795865
1.828,0.854899463
1.829,0.855003313
1.83,0.855107867
1.831,0.855212602
1.832,0.855316759
1.833,0.855420441
1.834,0.85552375
1.835,0.855626787
1.836,0.855729654
1.837,0.855832453
1.838,0.855935286
1.839,0.856038255
1.84,0.856141462
1.841,0.85624492
1.842,0.85634853
1.843,0.856452228
1.844,0.856555947
1.845,0.856659623
1.846,0.85676319
1.847,0.856866582
1.848,0.856969734
1.849,0.857072581
1.85,0.857175057
