Wavelength,Opticoat Ag
1.409,0.997394083
1.41,0.997482619
1.411,0.997580753
1.412,0.997695077
1.413,0.997819345
1.414,0.997947309
1.415,0.998072724
1.416,0.998189344
1.417,0.998290921
1.418,0.99837121
1.419,0.998423964
1.42,0.998442937
1.421,0.99844279
1.422,0.998442347
1.423,0.998441611
1.424,0.998440582
1.425,0.998439259
1.426,0.998437644
1.427,0.998435737
1.428,0.998433539
1.429,0.998431049
1.43,0.99842827
1.431,0.998335178
1.432,0.998080735
1.433,0.997693414
1.434,0.997201689
1.435,0.996634034
1.436,0.996018923
1.437,0.995384828
1.438,0.994760226
1.439,0.994173588
1.44,0.993653389
1.441,0.993160073
1.442,0.992642135
1.443,0.992110127
1.444,0.991574602
1.445,0.991046112
1.446,0.990535209
1.447,0.990052445
1.448,0.989608371
1.449,0.989213542
1.45,0.988878507
1.451,0.988582505
1.452,0.98829885
1.453,0.988029209
1.454,0.987775249
1.455,0.98753864
1.456,0.987321048
1.457,0.98712414
1.458,0.986949585
1.459,0.98679905
1.46,0.986674203
1.461,0.986569761
1.462,0.986477855
1.463,0.986396274
1.464,0.986322804
1.465,0.986255233
1.466,0.98619135
1.467,0.986128941
1.468,0.986065795
1.469,0.985999699
1.47,0.985928441
1.471,0.985847153
1.472,0.985755424
1.473,0.985657729
1.474,0.985558543
1.475,0.985462339
1.476,0.985373593
1.477,0.98529678
1.478,0.985236373
1.479,0.985196848
1.48,0.985182678
1.481,0.985183508
1.482,0.985185964
1.483,0.985189998
1.484,0.985195563
1.485,0.985202609
1.486,0.985211088
1.487,0.985220952
1.488,0.985232152
1.489,0.98524464
1.49,0.985258367
1.491,0.98529552
1.492,0.985373511
1.493,0.985485133
1.494,0.985623181
1.495,0.985780447
1.496,0.985949724
1.497,0.986123806
1.498,0.986295486
1.499,0.986457556
1.5,0.986602811
1.501,0.986743671
1.502,0.986894511
1.503,0.987051054
1.504,0.987209023
1.505,0.98736414
1.506,0.987512129
1.507,0.987648712
1.508,0.987769612
1.509,0.987870553
1.51,0.987947256
1.511,0.988009972
1.512,0.988071025
1.513,0.988129252
1.514,0.988183491
1.515,0.988232577
1.516,0.988275347
1.517,0.988310637
1.518,0.988337286
1.519,0.988354127
1.52,0.98836
1.521,0.98836
1.522,0.98836
1.523,0.98836
1.524,0.98836
1.525,0.98836
1.526,0.98836
1.527,0.98836
1.528,0.98836
1.529,0.98836
1.53,0.98836
1.531,0.98836
1.532,0.98836
1.533,0.98836
1.534,0.98836
1.535,0.98836
1.536,0.98836
1.537,0.98836
1.538,0.98836
1.539,0.98836
1.54,0.98836
1.541,0.988356076
1.542,0.988344931
1.543,0.9883275
1.544,0.988304723
1.545,0.988277535
1.546,0.988246876
1.547,0.988213682
1.548,0.98817889
1.549,0.988143439
1.55,0.988108266
1.551,0.988069407
1.552,0.988023169
1.553,0.987970897
1.554,0.987913933
1.555,0.98785362
1.556,0.987791303
1.557,0.987728325
1.558,0.987666029
1.559,0.987605759
1.56,0.987548858
1.561,0.987494032
1.562,0.987439166
1.563,0.987384374
1.564,0.987329769
1.565,0.987275465
1.566,0.987221574
1.567,0.98716821
1.568,0.987115486
1.569,0.987063516
1.57,0.987012413
1.571,0.986962293
1.572,0.986913087
1.573,0.986864636
1.574,0.986816777
1.575,0.986769349
1.576,0.98672219
1.577,0.986675138
1.578,0.986628033
1.579,0.986580713
1.58,0.986533015
1.581,0.986480761
1.582,0.986421795
1.583,0.986358994
1.584,0.986295234
1.585,0.986233391
1.586,0.986176343
1.587,0.986126965
1.588,0.986088134
1.589,0.986062726
1.59,0.986053617
1.591,0.986057711
1.592,0.986069295
1.593,0.986087325
1.594,0.986110756
1.595,0.986138542
1.596,0.986169637
1.597,0.986202998
1.598,0.986237578
1.599,0.986272332
1.6,0.986306216
1.601,0.986342266
1.602,0.986383567
1.603,0.986429145
1.604,0.986478027
1.605,0.98652924
1.606,0.986581809
1.607,0.986634762
1.608,0.986687124
1.609,0.986737923
1.61,0.986786184
1.611,0.986833013
1.612,0.986880038
1.613,0.986927066
1.614,0.986973906
1.615,0.987020368
1.616,0.987066259
1.617,0.987111389
1.618,0.987155565
1.619,0.987198597
1.62,0.987240293
1.621,0.987280563
1.622,0.987319591
1.623,0.987357597
1.624,0.987394798
1.625,0.987431415
1.626,0.987467667
1.627,0.987503772
1.628,0.987539951
1.629,0.987576422
1.63,0.987613404
1.631,0.987650715
1.632,0.987688026
1.633,0.987725338
1.634,0.987762649
1.635,0.98779996
1.636,0.987837271
1.637,0.987874582
1.638,0.987911894
1.639,0.987949205
1.64,0.987986516
1.641,0.988023407
1.642,0.988059644
1.643,0.988095508
1.644,0.988131278
1.645,0.988167235
1.646,0.988203659
1.647,0.98824083
1.648,0.988279028
1.649,0.988318534
1.65,0.988359627
1.651,0.988402748
1.652,0.98844791
1.653,0.988494754
1.654,0.988542918
1.655,0.988592044
1.656,0.988641771
1.657,0.988691738
1.658,0.988741587
1.659,0.988790957
1.66,0.988839488
1.661,0.988887551
1.662,0.988935725
1.663,0.988983963
1.664,0.989032218
1.665,0.989080442
1.666,0.989128589
1.667,0.989176611
1.668,0.989224461
1.669,0.989272092
1.67,0.989319457
1.671,0.989366606
1.672,0.989413618
1.673,0.989460486
1.674,0.989507206
1.675,0.98955377
1.676,0.989600173
1.677,0.989646409
1.678,0.989692472
1.679,0.989738356
1.68,0.989784056
1.681,0.989829505
1.682,0.989874674
1.683,0.989919612
1.684,0.989964369
1.685,0.990008994
1.686,0.990053537
1.687,0.990098047
1.688,0.990142573
1.689,0.990187165
1.69,0.990231873
1.691,0.99027921
1.692,0.990330521
1.693,0.990384104
1.694,0.990438255
1.695,0.99049127
1.696,0.990541446
1.697,0.990587079
1.698,0.990626466
1.699,0.990657904
1.7,0.990679689
1.701,0.990695774
1.702,0.990711101
1.703,0.99072545
1.704,0.990738601
1.705,0.990750333
1.706,0.990760426
1.707,0.990768659
1.708,0.990774813
1.709,0.990778666
1.71,0.99078
1.711,0.99078
1.712,0.99078
1.713,0.99078
1.714,0.99078
1.715,0.99078
1.716,0.99078
1.717,0.99078
1.718,0.99078
1.719,0.99078
1.72,0.99078
1.721,0.99078
1.722,0.99078
1.723,0.99078
1.724,0.99078
1.725,0.99078
1.726,0.99078
1.727,0.99078
1.728,0.99078
1.729,0.99078
1.73,0.99078
1.731,0.990782153
1.732,0.990788305
1.733,0.990797999
1.734,0.990810777
1.735,0.990826181
1.736,0.990843753
1.737,0.990863036
1.738,0.99088357
1.739,0.990904899
1.74,0.990926565
1.741,0.990952038
1.742,0.990984296
1.743,0.991022142
1.744,0.991064378
1.745,0.991109808
1.746,0.991157233
1.747,0.991205456
1.748,0.99125328
1.749,0.991299508
1.75,0.991342942
1.751,0.991385731
1.752,0.991430311
1.753,0.991475913
1.754,0.991521772
1.755,0.991567119
1.756,0.991611187
1.757,0.991653209
1.758,0.991692417
1.759,0.991728043
1.76,0.99175932
