Wavelength,NFIRAOSS
1.079,0.78234071
1.08,0.78234071
1.081,0.78419662
1.082,0.78419662
1.083,0.78419662
1.084,0.78419662
1.085,0.78419662
1.086,0.78672988
1.087,0.78672988
1.088,0.78672988
1.089,0.78672988
1.09,0.78672988
1.091,0.79060243
1.092,0.79060243
1.093,0.79060243
1.094,0.79060243
1.095,0.79060243
1.096,0.7958244
1.097,0.7958244
1.098,0.7958244
1.099,0.7958244
1.1,0.7958244
1.101,0.80061786
1.102,0.80061786
1.103,0.80061786
1.104,0.80061786
1.105,0.80061786
1.106,0.80485683
1.107,0.80485683
1.108,0.80485683
1.109,0.80485683
1.11,0.80485683
1.111,0.80875347
1.112,0.80875347
1.113,0.80875347
1.114,0.80875347
1.115,0.80875347
1.116,0.81228383
1.117,0.81228383
1.118,0.81228383
1.119,0.81228383
1.12,0.81228383
1.121,0.81434533
1.122,0.81434533
1.123,0.81434533
1.124,0.81434533
1.125,0.81434533
1.126,0.81595701
1.127,0.81595701
1.128,0.81595701
1.129,0.81595701
1.13,0.81595701
1.131,0.8178673
1.132,0.8178673
1.133,0.8178673
1.134,0.8178673
1.135,0.8178673
1.136,0.82022437
1.137,0.82022437
1.138,0.82022437
1.139,0.82022437
1.14,0.82022437
1.141,0.82376088
1.142,0.82376088
1.143,0.82376088
1.144,0.82376088
1.145,0.82376088
1.146,0.82778273
1.147,0.82778273
1.148,0.82778273
1.149,0.82778273
1.15,0.82778273
1.151,0.83083514
1.152,0.83083514
1.153,0.83083514
1.154,0.83083514
1.155,0.83083514
1.156,0.83458735
1.157,0.83458735
1.158,0.83458735
1.159,0.83458735
1.16,0.83458735
1.161,0.83825347
1.162,0.83825347
1.163,0.83825347
1.164,0.83825347
1.165,0.83825347
1.166,0.84067779
1.167,0.84067779
1.168,0.84067779
1.169,0.84067779
1.17,0.84067779
1.171,0.84168264
1.172,0.84168264
1.173,0.84168264
1.174,0.84168264
1.175,0.84168264
1.176,0.84244126
1.177,0.84244126
1.178,0.84244126
1.179,0.84244126
1.18,0.84244126
1.181,0.84346961
1.182,0.84346961
1.183,0.84346961
1.184,0.84346961
1.185,0.84346961
1.186,0.84352261
1.187,0.84352261
1.188,0.84352261
1.189,0.84352261
1.19,0.84352261
1.191,0.84371
1.192,0.84371
1.193,0.84371
1.194,0.84371
1.195,0.84371
1.196,0.84413654
1.197,0.84413654
1.198,0.84413654
1.199,0.84413654
1.2,0.84413654
1.201,0.84633351
1.202,0.84633351
1.203,0.84633351
1.204,0.84633351
1.205,0.84633351
1.206,0.84887287
1.207,0.84887287
1.208,0.84887287
1.209,0.84887287
1.21,0.84887287
1.211,0.85182051
1.212,0.85182051
1.213,0.85182051
1.214,0.85182051
1.215,0.85182051
1.216,0.85529434
1.217,0.85529434
1.218,0.85529434
1.219,0.85529434
1.22,0.85529434
1.221,0.85908341
1.222,0.85908341
1.223,0.85908341
1.224,0.85908341
1.225,0.85908341
1.226,0.86120461
1.227,0.86120461
1.228,0.86120461
1.229,0.86120461
1.23,0.86120461
1.231,0.86270791
1.232,0.86270791
1.233,0.86270791
1.234,0.86270791
1.235,0.86270791
1.236,0.86311065
1.237,0.86311065
1.238,0.86311065
1.239,0.86311065
1.24,0.86311065
1.241,0.86271359
1.242,0.86271359
1.243,0.86271359
1.244,0.86271359
1.245,0.86271359
1.246,0.86193185
1.247,0.86193185
1.248,0.86193185
1.249,0.86193185
1.25,0.86193185
1.251,0.86084663
1.252,0.86084663
1.253,0.86084663
1.254,0.86084663
1.255,0.86084663
1.256,0.85958379
1.257,0.85958379
1.258,0.85958379
1.259,0.85958379
1.26,0.85958379
1.261,0.85880981
1.262,0.85880981
1.263,0.85880981
1.264,0.85880981
1.265,0.85880981
1.266,0.8597857
1.267,0.8597857
1.268,0.8597857
1.269,0.8597857
1.27,0.8597857
1.271,0.8607611
1.272,0.8607611
1.273,0.8607611
1.274,0.8607611
1.275,0.8607611
1.276,0.86225198
1.277,0.86225198
1.278,0.86225198
1.279,0.86225198
1.28,0.86225198
1.281,0.86476767
1.282,0.86476767
1.283,0.86476767
1.284,0.86476767
1.285,0.86476767
1.286,0.86745244
1.287,0.86745244
1.288,0.86745244
1.289,0.86745244
1.29,0.86745244
1.291,0.8696045
1.292,0.8696045
1.293,0.8696045
1.294,0.8696045
1.295,0.8696045
1.296,0.87183594
1.297,0.87183594
1.298,0.87183594
1.299,0.87183594
1.3,0.87183594
1.301,0.87281922
1.302,0.87281922
1.303,0.87281922
1.304,0.87281922
1.305,0.87281922
1.306,0.87237022
1.307,0.87237022
1.308,0.87237022
1.309,0.87237022
1.31,0.87237022
1.311,0.87180179
1.312,0.87180179
1.313,0.87180179
1.314,0.87180179
1.315,0.87180179
1.316,0.87104473
1.317,0.87104473
1.318,0.87104473
1.319,0.87104473
1.32,0.87104473
1.321,0.86922826
1.322,0.86922826
1.323,0.86922826
1.324,0.86922826
1.325,0.86922826
1.326,0.8675395
1.327,0.8675395
1.328,0.8675395
1.329,0.8675395
1.33,0.8675395
1.331,0.86687248
1.332,0.86687248
1.333,0.86687248
1.334,0.86687248
1.335,0.86687248
1.336,0.86639514
1.337,0.86639514
1.338,0.86639514
1.339,0.86639514
1.34,0.86639514
1.341,0.86591405
1.342,0.86591405
1.343,0.86591405
1.344,0.86591405
1.345,0.86591405
1.346,0.86700948
1.347,0.86700948
1.348,0.86700948
1.349,0.86700948
1.35,0.86700948
1.351,0.86836432
1.352,0.86836432
1.353,0.86836432
1.354,0.86836432
1.355,0.86836432
1.356,0.86928155
1.357,0.86928155
1.358,0.86928155
1.359,0.86928155
