Wavelength,K-L Fiber
1.363,0.96891143
1.364,0.96898003
1.365,0.96904863
1.366,0.96911723
1.367,0.96918583
1.368,0.96925443
1.369,0.96932303
1.37,0.96939163
1.371,0.96946022
1.372,0.96952882
1.373,0.96959742
1.374,0.96966602
1.375,0.96973462
1.376,0.96980322
1.377,0.96987182
1.378,0.96994042
1.379,0.97000902
1.38,0.97007761
1.381,0.97014335
1.382,0.9702091
1.383,0.97027484
1.384,0.97034058
1.385,0.97040632
1.386,0.97047206
1.387,0.9705378
1.388,0.97060354
1.389,0.97066928
1.39,0.97073502
1.391,0.97080076
1.392,0.9708665
1.393,0.97093224
1.394,0.97099798
1.395,0.97106372
1.396,0.97112946
1.397,0.9711952
1.398,0.97126094
1.399,0.97132668
1.4,0.97139242
1.401,0.97145218
1.402,0.97151194
1.403,0.9715717
1.404,0.97163145
1.405,0.97169121
1.406,0.97175097
1.407,0.97181073
1.408,0.97187049
1.409,0.97193025
1.41,0.97199001
1.411,0.97204977
1.412,0.97210952
1.413,0.97216928
1.414,0.97222904
1.415,0.9722888
1.416,0.97234856
1.417,0.97240832
1.418,0.97246808
1.419,0.97252784
1.42,0.97258759
1.421,0.9726599
1.422,0.97273221
1.423,0.97280452
1.424,0.97287683
1.425,0.97294913
1.426,0.97302144
1.427,0.97309375
1.428,0.97316606
1.429,0.97323837
1.43,0.97331067
1.431,0.97338298
1.432,0.97345529
1.433,0.9735276
1.434,0.97359991
1.435,0.97367222
1.436,0.97374452
1.437,0.97381683
1.438,0.97388914
1.439,0.97396145
1.44,0.97403376
1.441,0.9741022
1.442,0.97417064
1.443,0.97423908
1.444,0.97430752
1.445,0.97437597
1.446,0.97444441
1.447,0.97451285
1.448,0.97458129
1.449,0.97464974
1.45,0.97471818
1.451,0.97478662
1.452,0.97485506
1.453,0.9749235
1.454,0.97499195
1.455,0.97506039
1.456,0.97512883
1.457,0.97519727
1.458,0.97526572
1.459,0.97533416
1.46,0.9754026
1.461,0.97546515
1.462,0.97552769
1.463,0.97559024
1.464,0.97565279
1.465,0.97571533
1.466,0.97577788
1.467,0.97584043
1.468,0.97590298
1.469,0.97596552
1.47,0.97602807
1.471,0.97609062
1.472,0.97615316
1.473,0.97621571
1.474,0.97627826
1.475,0.9763408
1.476,0.97640335
1.477,0.9764659
1.478,0.97652844
1.479,0.97659099
1.48,0.97665354
1.481,0.97671058
1.482,0.97676762
1.483,0.97682466
1.484,0.9768817
1.485,0.97693874
1.486,0.97699577
1.487,0.97705281
1.488,0.97710985
1.489,0.97716689
1.49,0.97722393
1.491,0.97728097
1.492,0.97733801
1.493,0.97739505
1.494,0.97745209
1.495,0.97750913
1.496,0.97756617
1.497,0.97762321
1.498,0.97768025
1.499,0.97773728
1.5,0.97779432
1.501,0.97784955
1.502,0.97790477
1.503,0.97795999
1.504,0.97801522
1.505,0.97807044
1.506,0.97812566
1.507,0.97818089
1.508,0.97823611
1.509,0.97829134
1.51,0.97834656
1.511,0.97840178
1.512,0.97845701
1.513,0.97851223
1.514,0.97856745
1.515,0.97862268
1.516,0.9786779
1.517,0.97873312
1.518,0.97878835
1.519,0.97884357
1.52,0.97889879
1.521,0.97895229
1.522,0.97900578
1.523,0.97905928
1.524,0.97911277
1.525,0.97916626
1.526,0.97921976
1.527,0.97927325
1.528,0.97932675
1.529,0.97938024
1.53,0.97943374
1.531,0.97948723
1.532,0.97954072
1.533,0.97959422
1.534,0.97964771
1.535,0.97970121
1.536,0.9797547
1.537,0.9798082
1.538,0.97986169
1.539,0.97991518
1.54,0.97996868
1.541,0.9800167
1.542,0.98006473
1.543,0.98011275
1.544,0.98016078
1.545,0.9802088
1.546,0.98025683
1.547,0.98030485
1.548,0.98035288
1.549,0.9804009
1.55,0.98044893
1.551,0.98049695
1.552,0.98054498
1.553,0.980593
1.554,0.98064103
1.555,0.98068905
1.556,0.98073708
1.557,0.9807851
1.558,0.98083313
1.559,0.98088115
1.56,0.98092918
1.561,0.98097082
1.562,0.98101245
1.563,0.98105409
1.564,0.98109573
1.565,0.98113737
1.566,0.98117901
1.567,0.98122065
1.568,0.98126229
1.569,0.98130393
1.57,0.98134557
1.571,0.98138721
1.572,0.98142885
1.573,0.98147049
1.574,0.98151213
1.575,0.98155377
1.576,0.98159541
1.577,0.98163705
1.578,0.98167868
1.579,0.98172032
1.58,0.98176196
1.581,0.98184152
1.582,0.98192107
1.583,0.98200063
1.584,0.98208018
1.585,0.98215973
1.586,0.98223929
1.587,0.98231884
1.588,0.9823984
1.589,0.98247795
1.59,0.9825575
1.591,0.98263706
1.592,0.98271661
1.593,0.98279616
1.594,0.98287572
1.595,0.98295527
1.596,0.98303483
1.597,0.98311438
1.598,0.98319393
1.599,0.98327349
1.6,0.98335304
1.601,0.98339601
1.602,0.98343897
1.603,0.98348194
1.604,0.9835249
1.605,0.98356787
1.606,0.98361083
1.607,0.9836538
1.608,0.98369676
1.609,0.98373973
1.61,0.9837827
1.611,0.98382566
1.612,0.98386863
1.613,0.98391159
1.614,0.98395456
1.615,0.98399752
1.616,0.98404049
1.617,0.98408345
1.618,0.98412642
1.619,0.98416938
1.62,0.98421235
1.621,0.98424848
1.622,0.98428462
1.623,0.98432076
1.624,0.98435689
1.625,0.98439303
1.626,0.98442917
1.627,0.9844653
1.628,0.98450144
1.629,0.98453757
1.63,0.98457371
1.631,0.98460985
1.632,0.98464598
1.633,0.98468212
1.634,0.98471825
1.635,0.98475439
1.636,0.98479053
1.637,0.98482666
1.638,0.9848628
1.639,0.98489894
1.64,0.98493507
1.641,0.98497293
1.642,0.98501078
1.643,0.98504863
1.644,0.98508649
1.645,0.98512434
1.646,0.98516219
1.647,0.98520005
1.648,0.9852379
1.649,0.98527575
1.65,0.98531361
1.651,0.98535146
1.652,0.98538932
1.653,0.98542717
1.654,0.98546502
1.655,0.98550288
1.656,0.98554073
1.657,0.98557858
1.658,0.98561644
1.659,0.98565429
1.66,0.98569214
1.661,0.9857291
1.662,0.98576605
1.663,0.985803
1.664,0.98583995
1.665,0.9858769
1.666,0.98591385
1.667,0.9859508
1.668,0.98598775
1.669,0.9860247
1.67,0.98606165
1.671,0.98609861
1.672,0.98613556
1.673,0.98617251
1.674,0.98620946
1.675,0.98624641
1.676,0.98628336
1.677,0.98632031
1.678,0.98635726
1.679,0.98639421
1.68,0.98643116
1.681,0.98646661
1.682,0.98650206
1.683,0.9865375
1.684,0.98657295
1.685,0.9866084
1.686,0.98664384
1.687,0.98667929
1.688,0.98671474
1.689,0.98675019
1.69,0.98678563
1.691,0.98682108
1.692,0.98685653
1.693,0.98689197
1.694,0.98692742
1.695,0.98696287
1.696,0.98699831
1.697,0.98703376
1.698,0.98706921
1.699,0.98710465
1.7,0.9871401
1.701,0.98716834
1.702,0.98719658
1.703,0.98722482
1.704,0.98725306
1.705,0.98728129
1.706,0.98730953
1.707,0.98733777
1.708,0.98736601
1.709,0.98739425
1.71,0.98742249
1.711,0.98745073
1.712,0.98747897
1.713,0.98750721
1.714,0.98753545
1.715,0.98756369
1.716,0.98759193
1.717,0.98762016
1.718,0.9876484
1.719,0.98767664
1.72,0.98770488
1.721,0.9877243
1.722,0.98774372
1.723,0.98776314
1.724,0.98778256
1.725,0.98780198
1.726,0.98782139
1.727,0.98784081
1.728,0.98786023
1.729,0.98787965
1.73,0.98789907
1.731,0.98791849
1.732,0.98793791
1.733,0.98795732
1.734,0.98797674
1.735,0.98799616
1.736,0.98801558
1.737,0.988035
1.738,0.98805442
1.739,0.98807384
1.74,0.98809325
1.741,0.98809123
1.742,0.98808921
1.743,0.98808718
1.744,0.98808516
1.745,0.98808314
1.746,0.98808111
1.747,0.98807909
1.748,0.98807707
1.749,0.98807505
1.75,0.98807302
1.751,0.988071
1.752,0.98806898
1.753,0.98806695
1.754,0.98806493
1.755,0.98806291
1.756,0.98806088
1.757,0.98805886
1.758,0.98805684
1.759,0.98805481
1.76,0.98805279
1.761,0.98797462
1.762,0.98789645
1.763,0.98781828
1.764,0.98774011
1.765,0.98766194
1.766,0.98758377
1.767,0.9875056
1.768,0.98742743
1.769,0.98734926
1.77,0.98727109
1.771,0.98719292
1.772,0.98711475
1.773,0.98703659
1.774,0.98695842
1.775,0.98688025
1.776,0.98680208
1.777,0.98672391
1.778,0.98664574
1.779,0.98656757
1.78,0.9864894
1.781,0.98631523
1.782,0.98614107
1.783,0.9859669
1.784,0.98579274
1.785,0.98561857
1.786,0.98544441
1.787,0.98527024
1.788,0.98509608
1.789,0.98492191
1.79,0.98474775
1.791,0.98457358
1.792,0.98439942
1.793,0.98422525
1.794,0.98405109
1.795,0.98387692
1.796,0.98370276
1.797,0.98352859
1.798,0.98335443
1.799,0.98318026
1.8,0.98300609
1.801,0.98290229
1.802,0.98279849
1.803,0.98269468
