StarName,RA,Dec,Distance,Flux Ratio,AngSep,ProjAU,Phase,SMA,Ecc,Inc,PlanetMass,PlanetRadius,PlanetLogg,StarSpT,StarMass,StarTeff,StarRad,StarLogg,StarBMag,StarVmag,StarRmag,StarImag,StarJmag,StarHmag,StarKmag
HIP 33560 A,104.60840606689453,-12.991469383239746,21.7,1.1632378676853938e-10,92.38559371330419,2.006305566117507,1.531635833822682,1.832502005054324,0.13383282699121007,157.7138666148504,0.7330283846231688,1.166433562304077,2.722555859256746,K4V,0.6701187993969615,4388.740774370938,0.5207578938788491,4.8309477052366185,10.3,9.14,0.0,0.0,6.903,6.368,6.19
HIP 33560 A,104.60840606689453,-12.991469383239746,21.7,1.8829484573390504e-10,113.26739116441966,2.766220672913706,1.0941567579114289,3.1699762969340957,0.21441602232408555,122.10300861863585,6.606239904682444,1.3715170529588234,3.536706999269433,K4V,0.6701187993969615,4388.740774370938,0.5207578938788491,4.8309477052366185,10.3,9.14,0.0,0.0,6.903,6.368,6.19
HIP 33560 A,104.60840606689453,-12.991469383239746,21.7,1.6796336012237657e-10,42.09746749604043,0.9637772017961069,1.2464171551754653,1.1852067608877066,0.2028370877240438,149.60840062615097,0.33142506049030707,0.7385272986648183,2.7748073200723127,K4V,0.6701187993969615,4388.740774370938,0.5207578938788491,4.8309477052366185,10.3,9.14,0.0,0.0,6.903,6.368,6.19
HIP 33690,104.99938201904297,-61.33682632446289,18.33,5.958980565097881e-10,100.33251755765326,1.8592900709906024,1.423274088168445,2.8103917113398325,0.3448334909321546,95.49826325396131,3.7754373387156455,2.029877775523528,2.9531825713080377,K1V,1.0098679247480633,5250.7063834266155,0.9027821949806296,4.531166235402329,7.609999999999999,6.8,0.0,0.0,5.459,5.097,4.99
HIP 33690,104.99938201904297,-61.33682632446289,18.33,1.2198509514057692e-10,84.97191078741265,1.8872757688229247,0.9707017584113266,2.189624449639557,0.25019776998566823,42.01592732200372,0.5302386149494692,0.6748669993320559,3.0571900505257616,K1V,1.0098679247480633,5250.7063834266155,0.9027821949806296,4.531166235402329,7.609999999999999,6.8,0.0,0.0,5.459,5.097,4.99
HIP 33690,104.99938201904297,-61.33682632446289,18.33,1.9431343102318553e-10,26.48542062237954,0.5654311786594768,2.10906518970425,0.4754673943631353,0.25951095896939835,39.39355568770372,2.6258930362333808,1.254783192416275,3.2132947278729915,K1V,1.0098679247480633,5250.7063834266155,0.9027821949806296,4.531166235402329,7.609999999999999,6.8,0.0,0.0,5.459,5.097,4.99
HIP 33690,104.99938201904297,-61.33682632446289,18.33,1.5132161834236568e-10,30.189362876148763,0.930609718308336,0.6368087988483877,0.687099639174864,0.35446842881717067,53.56120245362797,0.1477518661693577,0.669708853238363,2.5089159765852127,K1V,1.0098679247480633,5250.7063834266155,0.9027821949806296,4.531166235402329,7.609999999999999,6.8,0.0,0.0,5.459,5.097,4.99
HIP 33719,105.07543182373047,-5.367356777191162,28.96,6.747197659913741e-09,20.717107779355466,1.0663558328236267,0.5975678089251857,1.1097672301509085,0.31590837682092343,55.76971475756924,49.76763890418354,4.110531544964909,3.460306148407408,G0V,1.196441791571676,6087.546961754481,1.3482483440178947,4.25641941070357,6.8500000000000005,6.28,0.0,0.0,5.242,5.033,4.95
HIP 33719,105.07543182373047,-5.367356777191162,28.96,3.781635045310015e-10,14.999912664137248,0.9410763501534688,0.479793967948289,1.132417741719058,0.3669068396090703,62.978648237597,0.4357401021774128,0.8315307041074389,2.790626032689871,G0V,1.196441791571676,6087.546961754481,1.3482483440178947,4.25641941070357,6.8500000000000005,6.28,0.0,0.0,5.242,5.033,4.95
HIP 33719,105.07543182373047,-5.367356777191162,28.96,9.833301994225165e-08,5.76568875299517,0.17387865425112936,1.8535443545747305,0.19725180940669293,0.4769094509643536,49.40913436329707,63.17987649343064,7.730450610638457,3.01532423489107,G0V,1.196441791571676,6087.546961754481,1.3482483440178947,4.25641941070357,6.8500000000000005,6.28,0.0,0.0,5.242,5.033,4.95
HIP 33719,105.07543182373047,-5.367356777191162,28.96,6.773619501661103e-10,83.71579353529773,2.533057976963642,1.8647434190753038,1.930011610490017,0.34009870100212586,18.77219117054162,97.6154590299253,4.818737338734407,3.614807174252008,G0V,1.196441791571676,6087.546961754481,1.3482483440178947,4.25641941070357,6.8500000000000005,6.28,0.0,0.0,5.242,5.033,4.95
HIP 33805,105.27659606933594,59.833251953125,23.32,3.052546619746475e-10,468.98801890828406,10.997117021422888,1.4660130309763384,11.822083596262853,0.17600220918464402,173.40768089139823,469.3452676943205,12.470241024838316,3.4708978300802515,M0,0.55920159122904,3823.8388417760084,0.32328486460018413,5.166465280861175,12.41,10.93,0.0,0.0,8.129,7.543,7.35
HIP 33805,105.27659606933594,59.833251953125,23.32,1.0505977385531775e-09,178.1747848528841,4.992996376967575,0.9830146849479875,4.422339254043979,0.19943888812544797,39.82937031640596,20.60925439208932,7.991802555414523,2.4999278705470047,M0,0.55920159122904,3823.8388417760084,0.32328486460018413,5.166465280861175,12.41,10.93,0.0,0.0,8.129,7.543,7.35
HIP 33805,105.27659606933594,59.833251953125,23.32,1.3636848652798893e-10,230.61958397339313,8.455781779678533,0.689329968646754,7.765366224501413,0.31995319639083597,75.40430822585982,102.7405533180683,6.193005748201142,3.419094016062393,M0,0.55920159122904,3823.8388417760084,0.32328486460018413,5.166465280861175,12.41,10.93,0.0,0.0,8.129,7.543,7.35
HIP 33805,105.27659606933594,59.833251953125,23.32,2.8438453929079816e-10,41.258945694944195,0.9886556298779743,1.8028378599463282,0.7899445977791566,0.28569183359929345,158.9617950961382,4.851406394182226,2.248635916492228,2.9731844518675645,M0,0.55920159122904,3823.8388417760084,0.32328486460018413,5.166465280861175,12.41,10.93,0.0,0.0,8.129,7.543,7.35
