Age	M/Ms	Teff	L/Ls	g	R
10	0.007	213	-7.72	4.27	7.07
10	0.008	232	-7.58	4.33	7.01
10	0.009	249	-7.47	4.39	6.95
10	0.01	265	-7.37	4.44	6.9
10	0.012	293	-7.2	4.54	6.81
10	0.015	330	-7.02	4.65	6.67
10	0.02	389	-6.76	4.8	6.47
10	0.03	504	-6.36	5.03	6.1
10	0.04	634	-6	5.2	5.79
10	0.05	776	-5.69	5.34	5.52
10	0.06	941	-5.39	5.45	5.31
10	0.07	1289	-4.83	5.5	5.4
10	0.072	1556	-4.47	5.48	5.62
10	0.075	1997	-3.95	5.41	6.19
10	0.08	2322	-3.6	5.35	6.87
10	0.09	2624	-3.27	5.29	7.84
10	0.1	2786	-3.08	5.25	8.67
10	0.11	2922	-2.93	5.22	9.4
10	0.13	3056	-2.73	5.17	10.81
10	0.15	3153	-2.58	5.13	12.12
10	0.175	3237	-2.43	5.09	13.68
10	0.2	3295	-2.3	5.06	15.23
10	0.25	3378	-2.1	5	18.26
10	0.3	3436	-1.94	4.95	21.13
10	0.35	3475	-1.82	4.91	23.8
10	0.4	3524	-1.71	4.88	26.4
10	0.45	3584	-1.58	4.84	29.39
10	0.5	3654	-1.45	4.79	32.85
10	0.57	3819	-1.25	4.72	38.07
10	0.6	3914	-1.16	4.69	40.36
10	0.62	3982	-1.09	4.67	41.9
10	0.7	4284	-0.84	4.6	48.41
10	0.75	4520	-0.68	4.56	52.46
10	0.8	4725	-0.52	4.5	57.7
10	0.85	4945	-0.35	4.44	63.92
10	0.9	5165	-0.17	4.36	72.11
10	0.95	5322	0.03	4.24	85.06
12	0.003	117	-8.75	3.88	7.23
12	0.004	139	-8.45	4.01	7.21
12	0.005	160	-8.21	4.11	7.16
12	0.006	181	-8.01	4.2	7.1
12	0.008	218	-7.7	4.34	6.98
12	0.009	235	-7.57	4.4	6.92
12	0.01	251	-7.47	4.45	6.87
12	0.012	279	-7.29	4.54	6.78
12	0.015	311	-7.12	4.65	6.64
12	0.02	370	-6.85	4.81	6.44
12	0.03	484	-6.43	5.03	6.07
12	0.04	608	-6.08	5.21	5.75
12	0.05	744	-5.78	5.34	5.48
12	0.06	897	-5.49	5.46	5.26
12	0.07	1236	-4.91	5.51	5.34
12	0.072	1520	-4.52	5.49	5.58
12	0.075	1997	-3.95	5.41	6.19
12	0.08	2323	-3.6	5.35	6.86
12	0.09	2625	-3.27	5.29	7.84
12	0.1	2787	-3.08	5.25	8.68
12	0.11	2923	-2.93	5.22	9.4
12	0.13	3057	-2.73	5.17	10.82
12	0.15	3154	-2.58	5.13	12.13
12	0.175	3238	-2.42	5.09	13.72
12	0.2	3295	-2.3	5.05	15.29
12	0.25	3379	-2.1	4.99	18.35
12	0.3	3436	-1.94	4.95	21.22
12	0.35	3475	-1.82	4.91	23.88
12	0.4	3525	-1.7	4.88	26.46
12	0.45	3586	-1.58	4.84	29.47
12	0.5	3657	-1.45	4.79	32.97
12	0.6	3923	-1.15	4.68	40.56
12	0.7	4301	-0.83	4.59	48.91
12	0.75	4545	-0.66	4.55	53.26
12	0.8	4757	-0.49	4.48	59.1
12	0.85	4993	-0.3	4.41	66.34
12	0.9	5205	-0.09	4.3	77.67
