!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: Vega
! Using recent Calspec Alpha Lyrea STIS spectrum:
! ftp://ftp.stsci.edu/cdbs/current_calspec/
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (caracteristic of CCDs)
!
!  MKO filter system
!
!        Teff    Logg   [M/H]   [a/H]             J           H          Ks          L'          M'
      1400.00    4.00    0.50    0.00       -32.778     -34.413     -35.682     -36.970     -37.221
      1400.00    4.00   -0.50    0.20       -33.057     -34.600     -35.848     -37.207     -37.056
      1400.00    4.50    0.00    0.00       -33.384     -34.723     -35.830     -37.213     -36.714
      1400.00    4.50    0.50    0.00       -33.239     -34.614     -35.761     -37.069     -36.926
      1400.00    4.50   -0.50    0.20       -33.269     -34.735     -35.892     -37.271     -36.833
      1400.00    5.00    0.00    0.00       -33.759     -35.002     -35.892     -37.183     -36.373
      1400.00    5.00    0.50    0.00       -33.316     -34.690     -35.869     -37.168     -36.562
      1400.00    5.00   -0.50    0.20       -33.608     -34.867     -35.842     -37.290     -36.622
      1450.00    3.50    0.00    0.00       -32.884     -34.470     -35.710     -37.155     -37.502
      1450.00    3.50    0.50    0.00       -32.522     -34.261     -35.579     -36.958     -37.264
      1450.00    3.50   -0.50    0.20       -32.838     -34.471     -35.770     -37.244     -37.431
      1450.00    4.00    0.50    0.00       -33.146     -34.668     -35.940     -37.333     -37.327
      1450.00    4.00   -0.50    0.20       -33.040     -34.524     -35.802     -37.279     -37.315
      1450.00    4.50    0.00    0.00       -33.324     -34.713     -35.816     -37.080     -37.323
      1450.00    4.50    0.50    0.00       -33.403     -34.780     -35.887     -37.056     -37.190
      1450.00    4.50   -0.50    0.20       -33.589     -34.947     -36.010     -37.276     -36.968
      1450.00    5.00    0.00    0.00       -33.898     -35.112     -36.025     -37.267     -36.648
      1450.00    5.00    0.50    0.00       -33.697     -34.866     -35.930     -37.174     -36.783
      1450.00    5.00   -0.50    0.20       -34.011     -35.111     -35.973     -37.167     -36.724
